Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
PINEVALE,2 Tampines Street 73  #10-02 ,1,119,Strata,919000,-,7723,717,26-Dec-19,Executive Condominium,99 Yrs From 31/01/1997,1999,Resale,HDB,18,52,528823,East Region,Tampines
WHITEWATER,23 Pasir Ris Street 72  #09-06 ,1,105,Strata,782000,-,7448,692,26-Dec-19,Executive Condominium,99 Yrs From 23/07/2002,2005,Resale,HDB,18,51,518765,East Region,Pasir Ris
BELYSA,55 Pasir Ris Drive 1  #06-04 ,1,83,Strata,815000,-,9819,912,16-Dec-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,HDB,18,51,519530,East Region,Pasir Ris
SIMEI GREEN CONDOMINIUM,1 Simei Street 4  #11-03 ,1,159,Strata,1210000,-,7610,707,13-Dec-19,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529861,East Region,Tampines
BELYSA,59 Pasir Ris Drive 1  #12-15 ,1,103,Strata,978000,-,9495,882,13-Dec-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,HDB,18,51,519532,East Region,Pasir Ris
EASTVALE,33 Pasir Ris Drive 3  #04-08 ,1,113,Strata,888000,-,7858,730,10-Dec-19,Executive Condominium,99 Yrs From 26/06/1996,1999,Resale,HDB,18,51,519492,East Region,Pasir Ris
WHITEWATER,23 Pasir Ris Street 72  #14-06 ,1,105,Strata,750000,-,7143,664,6-Dec-19,Executive Condominium,99 Yrs From 23/07/2002,2005,Resale,HDB,18,51,518765,East Region,Pasir Ris
WHITEWATER,23 Pasir Ris Street 72  #15-06 ,1,105,Strata,785000,-,7476,695,6-Dec-19,Executive Condominium,99 Yrs From 23/07/2002,2005,Resale,HDB,18,51,518765,East Region,Pasir Ris
ARC AT TAMPINES,19 Tampines Avenue 8  #08-31 ,1,97,Strata,955000,-,9845,915,2-Dec-19,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,HDB,18,52,529603,East Region,Tampines
ARC AT TAMPINES,3 Tampines Avenue 8  #14-01 ,1,120,Strata,1180000,-,9833,914,29-Nov-19,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,Private,18,52,529595,East Region,Tampines
SIMEI GREEN CONDOMINIUM,15 Simei Street 4  #11-03 ,1,159,Strata,1260000,-,7925,736,29-Nov-19,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,HDB,18,52,529868,East Region,Tampines
ARC AT TAMPINES,21 Tampines Avenue 8  #02-34 ,1,89,Strata,850000,-,9551,887,27-Nov-19,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,HDB,18,52,529604,East Region,Tampines
EASTVALE,37 Pasir Ris Drive 3  #01-02 ,1,119,Strata,880000,-,7395,687,25-Nov-19,Executive Condominium,99 Yrs From 26/06/1996,1999,Resale,Private,18,51,519494,East Region,Pasir Ris
ARC AT TAMPINES,5 Tampines Avenue 8  #02-08 ,1,89,Strata,880000,-,9888,919,22-Nov-19,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,HDB,18,52,529596,East Region,Tampines
THE ESPARIS,7A Pasir Ris Drive 4  #02-09 ,1,120,Strata,955000,-,7958,739,22-Nov-19,Executive Condominium,99 Yrs From 21/01/2002,2005,Resale,HDB,18,51,519460,East Region,Pasir Ris
BELYSA,57 Pasir Ris Drive 1  #10-10 ,1,96,Strata,938888,-,9780,909,21-Nov-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,HDB,18,51,519531,East Region,Pasir Ris
ARC AT TAMPINES,19 Tampines Avenue 8  #10-30 ,1,89,Strata,965000,-,10843,1007,18-Nov-19,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,Private,18,52,529603,East Region,Tampines
BELYSA,57 Pasir Ris Drive 1  #16-12 ,1,113,Strata,1055000,-,9336,867,12-Nov-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,Private,18,51,519531,East Region,Pasir Ris
THE TAMPINES TRILLIANT,15 Tampines Central 7  #13-11 ,1,105,Strata,1130000,-,10762,1000,12-Nov-19,Executive Condominium,99 Yrs From 13/07/2011,2015,Resale,Private,18,52,528771,East Region,Tampines
ARC AT TAMPINES,5 Tampines Avenue 8  #15-05 ,1,105,Strata,1068900,-,10180,946,8-Nov-19,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,Private,18,52,529596,East Region,Tampines
BELYSA,57 Pasir Ris Drive 1  #06-05 ,1,90,Strata,870000,-,9667,898,8-Nov-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,HDB,18,51,519531,East Region,Pasir Ris
ARC AT TAMPINES,3 Tampines Avenue 8  #06-04 ,1,75,Strata,745000,-,9933,923,8-Nov-19,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,Private,18,52,529595,East Region,Tampines
BELYSA,59 Pasir Ris Drive 1  #18-13 ,1,116,Strata,1030000,-,8879,825,5-Nov-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,Private,18,51,519532,East Region,Pasir Ris
PINEVALE,4 Tampines Street 73  #08-01 ,1,151,Strata,1125000,-,7450,692,5-Nov-19,Executive Condominium,99 Yrs From 31/01/1997,1999,Resale,HDB,18,52,528824,East Region,Tampines
THE TAMPINES TRILLIANT,29 Tampines Central 7  #09-39 ,1,105,Strata,1135000,-,10810,1004,1-Nov-19,Executive Condominium,99 Yrs From 13/07/2011,2015,Resale,HDB,18,52,528612,East Region,Tampines
BELYSA,57 Pasir Ris Drive 1  #09-10 ,1,96,Strata,918000,-,9563,888,30-Oct-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,Private,18,51,519531,East Region,Pasir Ris
ARC AT TAMPINES,17 Tampines Avenue 8  #13-26 ,1,75,Strata,788000,-,10507,976,29-Oct-19,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,Private,18,52,529602,East Region,Tampines
ARC AT TAMPINES,7 Tampines Avenue 8  #12-10 ,1,89,Strata,955000,-,10730,997,25-Oct-19,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,HDB,18,52,529597,East Region,Tampines
BELYSA,55 Pasir Ris Drive 1  #03-03 ,1,101,Strata,918000,-,9089,844,22-Oct-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,HDB,18,51,519530,East Region,Pasir Ris
WHITEWATER,27 Pasir Ris Street 72  #06-14 ,1,106,Strata,825000,-,7783,723,22-Oct-19,Executive Condominium,99 Yrs From 23/07/2002,2005,Resale,HDB,18,51,518767,East Region,Pasir Ris
ARC AT TAMPINES,7 Tampines Avenue 8  #07-11 ,1,132,Strata,1210000,-,9167,852,15-Oct-19,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,HDB,18,52,529597,East Region,Tampines
ARC AT TAMPINES,7 Tampines Avenue 8  #10-11 ,1,132,Strata,1200000,-,9091,845,15-Oct-19,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,Private,18,52,529597,East Region,Tampines
BELYSA,57 Pasir Ris Drive 1  #13-08 ,1,124,Strata,1150000,-,9274,862,14-Oct-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,Private,18,51,519531,East Region,Pasir Ris
ARC AT TAMPINES,9 Tampines Avenue 8  #16-14 ,1,114,Strata,1240000,-,10877,1011,9-Oct-19,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,N.A,18,52,529598,East Region,Tampines
BELYSA,55 Pasir Ris Drive 1  #07-01 ,1,77,Strata,768000,-,9974,927,9-Oct-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,N.A,18,51,519530,East Region,Pasir Ris
ARC AT TAMPINES,9 Tampines Avenue 8  #13-14 ,1,114,Strata,1190000,-,10439,970,8-Oct-19,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,HDB,18,52,529598,East Region,Tampines
THE EDEN AT TAMPINES,23 Tampines Street 34  #10-14 ,1,115,Strata,988000,-,8591,798,4-Oct-19,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529233,East Region,Tampines
BELYSA,57 Pasir Ris Drive 1  #02-11 ,1,132,Strata,1150000,-,8712,809,2-Oct-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,HDB,18,51,519531,East Region,Pasir Ris
BELYSA,57 Pasir Ris Drive 1  #08-05 ,1,90,Strata,880000,-,9778,908,30-Sep-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,HDB,18,51,519531,East Region,Pasir Ris
SIMEI GREEN CONDOMINIUM,5 Simei Street 4  #03-03 ,1,90,Strata,790000,-,8778,815,30-Sep-19,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,HDB,18,52,529863,East Region,Tampines
PINEVALE,12 Tampines Street 73  #11-03 ,1,129,Strata,950000,-,7364,684,30-Sep-19,Executive Condominium,99 Yrs From 31/01/1997,1999,Resale,HDB,18,52,528828,East Region,Tampines
BELYSA,55 Pasir Ris Drive 1  #10-04 ,1,83,Strata,815000,-,9819,912,27-Sep-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,HDB,18,51,519530,East Region,Pasir Ris
ARC AT TAMPINES,5 Tampines Avenue 8  #06-08 ,1,89,Strata,892000,-,10022,931,26-Sep-19,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,HDB,18,52,529596,East Region,Tampines
ARC AT TAMPINES,17 Tampines Avenue 8  #09-28 ,1,74,Strata,760000,-,10270,954,23-Sep-19,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,Private,18,52,529602,East Region,Tampines
BELYSA,55 Pasir Ris Drive 1  #10-01 ,1,77,Strata,768000,-,9974,927,23-Sep-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,HDB,18,51,519530,East Region,Pasir Ris
BELYSA,59 Pasir Ris Drive 1  #01-16 ,1,115,Strata,940000,-,8174,759,19-Sep-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,Private,18,51,519532,East Region,Pasir Ris
THE EDEN AT TAMPINES,29 Tampines Street 34  #07-27 ,1,116,Strata,966000,-,8328,774,19-Sep-19,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,Private,18,52,529236,East Region,Tampines
SIMEI GREEN CONDOMINIUM,7 Simei Street 4  #03-06 ,1,90,Strata,855000,-,9500,883,18-Sep-19,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,HDB,18,52,529864,East Region,Tampines
ARC AT TAMPINES,9 Tampines Avenue 8  #09-16 ,1,75,Strata,748000,-,9973,927,17-Sep-19,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,HDB,18,52,529598,East Region,Tampines
ARC AT TAMPINES,15 Tampines Avenue 8  #02-24 ,1,74,Strata,750000,-,10135,942,16-Sep-19,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,HDB,18,52,529601,East Region,Tampines
ARC AT TAMPINES,5 Tampines Avenue 8  #12-05 ,1,105,Strata,980000,-,9333,867,16-Sep-19,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,Private,18,52,529596,East Region,Tampines
BELYSA,59 Pasir Ris Drive 1  #18-18 ,1,170,Strata,1180000,-,6941,645,13-Sep-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,Private,18,51,519532,East Region,Pasir Ris
EASTVALE,39 Pasir Ris Drive 3  #12-04 ,1,105,Strata,828000,-,7886,733,11-Sep-19,Executive Condominium,99 Yrs From 26/06/1996,1999,Resale,HDB,18,51,519495,East Region,Pasir Ris
BELYSA,55 Pasir Ris Drive 1  #04-03 ,1,101,Strata,925000,-,9158,851,11-Sep-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,Private,18,51,519530,East Region,Pasir Ris
ARC AT TAMPINES,19 Tampines Avenue 8  #12-29 ,1,105,Strata,1060000,-,10095,938,10-Sep-19,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,HDB,18,52,529603,East Region,Tampines
ARC AT TAMPINES,3 Tampines Avenue 8  #14-04 ,1,75,Strata,786000,-,10480,974,9-Sep-19,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,HDB,18,52,529595,East Region,Tampines
ARC AT TAMPINES,17 Tampines Avenue 8  #07-26 ,1,75,Strata,733000,-,9773,908,6-Sep-19,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,Private,18,52,529602,East Region,Tampines
ARC AT TAMPINES,3 Tampines Avenue 8  #12-04 ,1,75,Strata,775000,-,10333,960,5-Sep-19,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,Private,18,52,529595,East Region,Tampines
WHITEWATER,29 Pasir Ris Street 72  #12-17 ,1,112,Strata,870000,-,7768,722,4-Sep-19,Executive Condominium,99 Yrs From 23/07/2002,2005,Resale,Private,18,51,518768,East Region,Pasir Ris
THE TAMPINES TRILLIANT,23 Tampines Central 7  #03-25 ,1,115,Strata,1220000,-,10609,986,3-Sep-19,Executive Condominium,99 Yrs From 13/07/2011,2015,Resale,HDB,18,52,528609,East Region,Tampines
THE EDEN AT TAMPINES,31 Tampines Street 34  #08-31 ,1,138,Strata,1230000,-,8913,828,2-Sep-19,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529237,East Region,Tampines
BELYSA,59 Pasir Ris Drive 1  #07-16 ,1,77,Strata,765000,-,9935,923,30-Aug-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,Private,18,51,519532,East Region,Pasir Ris
BELYSA,57 Pasir Ris Drive 1  #08-06 ,1,98,Strata,940000,-,9592,891,30-Aug-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,Private,18,51,519531,East Region,Pasir Ris
BELYSA,57 Pasir Ris Drive 1  #15-06 ,1,98,Strata,960000,-,9796,910,28-Aug-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,HDB,18,51,519531,East Region,Pasir Ris
ARC AT TAMPINES,7 Tampines Avenue 8  #13-11 ,1,132,Strata,1248000,-,9455,878,27-Aug-19,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,Private,18,52,529597,East Region,Tampines
BELYSA,59 Pasir Ris Drive 1  #15-16 ,1,83,Strata,818000,-,9855,916,27-Aug-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,Private,18,51,519532,East Region,Pasir Ris
BELYSA,59 Pasir Ris Drive 1  #17-16 ,1,83,Strata,810000,-,9759,907,23-Aug-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,Private,18,51,519532,East Region,Pasir Ris
WHITEWATER,29 Pasir Ris Street 72  #06-20 ,1,119,Strata,930000,-,7815,726,23-Aug-19,Executive Condominium,99 Yrs From 23/07/2002,2005,Resale,HDB,18,51,518768,East Region,Pasir Ris
ARC AT TAMPINES,21 Tampines Avenue 8  #14-35 ,1,107,Strata,1098000,-,10262,953,22-Aug-19,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,HDB,18,52,529604,East Region,Tampines
ARC AT TAMPINES,17 Tampines Avenue 8  #04-28 ,1,74,Strata,750000,-,10135,942,20-Aug-19,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,Private,18,52,529602,East Region,Tampines
ARC AT TAMPINES,3 Tampines Avenue 8  #15-04 ,1,75,Strata,745000,-,9933,923,19-Aug-19,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,HDB,18,52,529595,East Region,Tampines
BELYSA,57 Pasir Ris Drive 1  #10-09 ,1,88,Strata,845000,-,9602,892,16-Aug-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,HDB,18,51,519531,East Region,Pasir Ris
ARC AT TAMPINES,5 Tampines Avenue 8  #07-05 ,1,105,Strata,1050000,-,10000,929,16-Aug-19,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,HDB,18,52,529596,East Region,Tampines
ARC AT TAMPINES,7 Tampines Avenue 8  #05-10 ,1,89,Strata,911800,-,10245,952,14-Aug-19,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,Private,18,52,529597,East Region,Tampines
ARC AT TAMPINES,9 Tampines Avenue 8  #14-16 ,1,75,Strata,768000,-,10240,951,14-Aug-19,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,HDB,18,52,529598,East Region,Tampines
THE EDEN AT TAMPINES,23 Tampines Street 34  #10-12 ,1,213,Strata,1600000,-,7512,698,14-Aug-19,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,Private,18,52,529233,East Region,Tampines
THE EDEN AT TAMPINES,27 Tampines Street 34  #03-24 ,1,116,Strata,946000,-,8155,758,13-Aug-19,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,Private,18,52,529235,East Region,Tampines
BELYSA,55 Pasir Ris Drive 1  #15-01 ,1,77,Strata,760000,-,9870,917,5-Aug-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,HDB,18,51,519530,East Region,Pasir Ris
BELYSA,59 Pasir Ris Drive 1  #01-14 ,1,134,Strata,975000,-,7276,676,31-Jul-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,HDB,18,51,519532,East Region,Pasir Ris
SIMEI GREEN CONDOMINIUM,3 Simei Street 4  #05-05 ,1,116,Strata,970000,-,8362,777,24-Jul-19,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529862,East Region,Tampines
THE EDEN AT TAMPINES,21 Tampines Street 34  #03-03 ,1,94,Strata,818000,-,8702,808,22-Jul-19,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529232,East Region,Tampines
BELYSA,59 Pasir Ris Drive 1  #03-13 ,1,90,Strata,815000,-,9056,841,19-Jul-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,HDB,18,51,519532,East Region,Pasir Ris
BELYSA,57 Pasir Ris Drive 1  #03-09 ,1,88,Strata,835000,-,9489,882,19-Jul-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,Private,18,51,519531,East Region,Pasir Ris
SIMEI GREEN CONDOMINIUM,9 Simei Street 4  #05-02 ,1,111,Strata,988000,-,8901,827,18-Jul-19,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,HDB,18,52,529865,East Region,Tampines
WHITEWATER,23 Pasir Ris Street 72  #08-07 ,1,106,Strata,835000,-,7877,732,12-Jul-19,Executive Condominium,99 Yrs From 23/07/2002,2005,Resale,Private,18,51,518765,East Region,Pasir Ris
EASTVALE,35 Pasir Ris Drive 3  #11-05 ,1,182,Strata,1200000,-,6593,613,11-Jul-19,Executive Condominium,99 Yrs From 26/06/1996,1999,Resale,Private,18,51,519493,East Region,Pasir Ris
BELYSA,59 Pasir Ris Drive 1  #03-15 ,1,103,Strata,928200,-,9012,837,9-Jul-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,Private,18,51,519532,East Region,Pasir Ris
BELYSA,57 Pasir Ris Drive 1  #09-12 ,1,113,Strata,1050000,-,9292,863,9-Jul-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,HDB,18,51,519531,East Region,Pasir Ris
SIMEI GREEN CONDOMINIUM,15 Simei Street 4  #10-02 ,1,111,Strata,925000,-,8333,774,9-Jul-19,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,HDB,18,52,529868,East Region,Tampines
BELYSA,57 Pasir Ris Drive 1  #18-09 ,1,114,Strata,1020000,-,8947,831,5-Jul-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,Private,18,51,519531,East Region,Pasir Ris
BELYSA,57 Pasir Ris Drive 1  #15-07 ,1,124,Strata,1108000,-,8935,830,4-Jul-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,HDB,18,51,519531,East Region,Pasir Ris
BELYSA,55 Pasir Ris Drive 1  #01-03 ,1,136,Strata,1100000,-,8088,751,3-Jul-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,Private,18,51,519530,East Region,Pasir Ris
THE EDEN AT TAMPINES,25 Tampines Street 34  #01-17 ,1,143,Strata,1140000,-,7972,741,28-Jun-19,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529234,East Region,Tampines
BELYSA,57 Pasir Ris Drive 1  #05-05 ,1,90,Strata,868888,-,9654,897,27-Jun-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,HDB,18,51,519531,East Region,Pasir Ris
BELYSA,57 Pasir Ris Drive 1  #05-10 ,1,88,Strata,850000,-,9659,897,27-Jun-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,HDB,18,51,519531,East Region,Pasir Ris
WHITEWATER,29 Pasir Ris Street 72  #12-18 ,1,106,Strata,827000,-,7802,725,24-Jun-19,Executive Condominium,99 Yrs From 23/07/2002,2005,Resale,HDB,18,51,518768,East Region,Pasir Ris
BELYSA,57 Pasir Ris Drive 1  #18-06 ,1,116,Strata,995000,-,8578,797,24-Jun-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,Private,18,51,519531,East Region,Pasir Ris
SIMEI GREEN CONDOMINIUM,5 Simei Street 4  #04-07 ,1,111,Strata,945000,-,8514,791,21-Jun-19,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,HDB,18,52,529863,East Region,Tampines
BELYSA,57 Pasir Ris Drive 1  #10-08 ,1,124,Strata,1250000,-,10081,937,20-Jun-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,Private,18,51,519531,East Region,Pasir Ris
THE ESPARIS,7 Pasir Ris Drive 4  #08-04 ,1,120,Strata,1020000,-,8500,790,14-Jun-19,Executive Condominium,99 Yrs From 21/01/2002,2005,Resale,Private,18,51,519459,East Region,Pasir Ris
BELYSA,59 Pasir Ris Drive 1  #11-14 ,1,98,Strata,890000,-,9082,844,12-Jun-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,HDB,18,51,519532,East Region,Pasir Ris
BELYSA,57 Pasir Ris Drive 1  #16-06 ,1,98,Strata,970000,-,9898,920,10-Jun-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,Private,18,51,519531,East Region,Pasir Ris
BELYSA,59 Pasir Ris Drive 1  #02-14 ,1,90,Strata,808000,-,8978,834,7-Jun-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,Private,18,51,519532,East Region,Pasir Ris
BELYSA,59 Pasir Ris Drive 1  #15-15 ,1,103,Strata,975000,-,9466,879,3-Jun-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,Private,18,51,519532,East Region,Pasir Ris
SIMEI GREEN CONDOMINIUM,11 Simei Street 4  #02-08 ,1,126,Strata,1000000,-,7937,737,24-May-19,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529866,East Region,Tampines
THE EDEN AT TAMPINES,37 Tampines Street 34  #06-42 ,1,126,Strata,1110000,-,8810,818,22-May-19,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529240,East Region,Tampines
PINEVALE,10 Tampines Street 73  #14-04 ,1,129,Strata,980000,-,7597,706,21-May-19,Executive Condominium,99 Yrs From 31/01/1997,1999,Resale,Private,18,52,528827,East Region,Tampines
WHITEWATER,29 Pasir Ris Street 72  #07-20 ,1,119,Strata,885000,-,7437,691,21-May-19,Executive Condominium,99 Yrs From 23/07/2002,2005,Resale,HDB,18,51,518768,East Region,Pasir Ris
WHITEWATER,21 Pasir Ris Street 72  #10-03 ,1,89,Strata,728000,-,8180,760,17-May-19,Executive Condominium,99 Yrs From 23/07/2002,2005,Resale,HDB,18,51,518764,East Region,Pasir Ris
SIMEI GREEN CONDOMINIUM,9 Simei Street 4  #07-06 ,1,90,Strata,820600,-,9118,847,9-May-19,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,HDB,18,52,529865,East Region,Tampines
SIMEI GREEN CONDOMINIUM,1 Simei Street 4  #04-05 ,1,116,Strata,940000,-,8103,753,8-May-19,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,HDB,18,52,529861,East Region,Tampines
SIMEI GREEN CONDOMINIUM,11 Simei Street 4  #11-03 ,1,159,Strata,1280000,-,8050,748,7-May-19,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529866,East Region,Tampines
PINEVALE,10 Tampines Street 73  #07-04 ,1,129,Strata,950000,-,7364,684,3-May-19,Executive Condominium,99 Yrs From 31/01/1997,1999,Resale,Private,18,52,528827,East Region,Tampines
THE EDEN AT TAMPINES,25 Tampines Street 34  #03-18 ,1,110,Strata,970000,-,8818,819,3-May-19,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529234,East Region,Tampines
SIMEI GREEN CONDOMINIUM,3 Simei Street 4  #10-08 ,1,126,Strata,1168000,-,9270,861,26-Apr-19,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529862,East Region,Tampines
PINEVALE,6 Tampines Street 73  #07-02 ,1,120,Strata,970000,-,8083,751,26-Apr-19,Executive Condominium,99 Yrs From 31/01/1997,1999,Resale,Private,18,52,528825,East Region,Tampines
SIMEI GREEN CONDOMINIUM,9 Simei Street 4  #02-03 ,1,90,Strata,850000,-,9444,877,25-Apr-19,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,HDB,18,52,529865,East Region,Tampines
EASTVALE,31 Pasir Ris Drive 3  #01-04 ,1,110,Strata,828000,-,7527,699,17-Apr-19,Executive Condominium,99 Yrs From 26/06/1996,1999,Resale,HDB,18,51,519491,East Region,Pasir Ris
THE ESPARIS,7 Pasir Ris Drive 4  #01-04 ,1,139,Strata,1100000,-,7914,735,17-Apr-19,Executive Condominium,99 Yrs From 21/01/2002,2005,Resale,Private,18,51,519459,East Region,Pasir Ris
THE EDEN AT TAMPINES,33 Tampines Street 34  #01-36 ,1,170,Strata,1280000,-,7529,699,17-Apr-19,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,Private,18,52,529238,East Region,Tampines
WHITEWATER,23 Pasir Ris Street 72  #11-06 ,1,105,Strata,837000,-,7971,741,16-Apr-19,Executive Condominium,99 Yrs From 23/07/2002,2005,Resale,Private,18,51,518765,East Region,Pasir Ris
BELYSA,59 Pasir Ris Drive 1  #09-14 ,1,98,Strata,890000,-,9082,844,8-Apr-19,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,Private,18,51,519532,East Region,Pasir Ris
PINEVALE,2 Tampines Street 73  #14-03 ,1,120,Strata,950000,-,7917,735,3-Apr-19,Executive Condominium,99 Yrs From 31/01/1997,1999,Resale,Private,18,52,528823,East Region,Tampines
PINEVALE,6 Tampines Street 73  #02-01 ,1,120,Strata,960000,-,8000,743,1-Apr-19,Executive Condominium,99 Yrs From 31/01/1997,1999,Resale,Private,18,52,528825,East Region,Tampines
SIMEI GREEN CONDOMINIUM,15 Simei Street 4  #06-08 ,1,126,Strata,1068000,-,8476,787,1-Apr-19,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,HDB,18,52,529868,East Region,Tampines
WHITEWATER,33 Pasir Ris Street 72  #13-28 ,1,117,Strata,958000,-,8188,761,26-Mar-19,Executive Condominium,99 Yrs From 23/07/2002,2005,Resale,HDB,18,51,518770,East Region,Pasir Ris
WHITEWATER,27 Pasir Ris Street 72  #04-13 ,1,112,Strata,808000,-,7214,670,26-Mar-19,Executive Condominium,99 Yrs From 23/07/2002,2005,Resale,Private,18,51,518767,East Region,Pasir Ris
SIMEI GREEN CONDOMINIUM,9 Simei Street 4  #08-08 ,1,126,Strata,1030000,-,8175,759,20-Mar-19,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529865,East Region,Tampines
