Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
EASTVALE,33 Pasir Ris Drive 3  #06-01 ,1,102,Strata,600000,-,5882,546,1-Sep-09,Executive Condominium,99 Yrs From 26/06/1996,1999,Resale,HDB,18,51,519492,East Region,Pasir Ris
SIMEI GREEN CONDOMINIUM,5 Simei Street 4  #02-04 ,1,116,Strata,655000,-,5647,525,1-Sep-09,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529863,East Region,Tampines
SIMEI GREEN CONDOMINIUM,1 Simei Street 4  #03-04 ,1,116,Strata,655000,-,5647,525,28-Aug-09,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529861,East Region,Tampines
THE EDEN AT TAMPINES,31 Tampines Street 34  #08-30 ,1,111,Strata,675000,-,6081,565,27-Aug-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,Private,18,52,529237,East Region,Tampines
SIMEI GREEN CONDOMINIUM,7 Simei Street 4  #03-06 ,1,90,Strata,600000,-,6667,619,20-Aug-09,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529864,East Region,Tampines
SIMEI GREEN CONDOMINIUM,5 Simei Street 4  #05-03 ,1,90,Strata,583000,-,6478,602,20-Aug-09,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,HDB,18,52,529863,East Region,Tampines
PINEVALE,8 Tampines Street 73  #05-01 ,1,129,Strata,690000,-,5349,497,20-Aug-09,Executive Condominium,99 Yrs From 31/01/1997,1999,Resale,Private,18,52,528826,East Region,Tampines
PINEVALE,6 Tampines Street 73  #11-03 ,1,119,Strata,705000,-,5924,550,18-Aug-09,Executive Condominium,99 Yrs From 31/01/1997,1999,Resale,HDB,18,52,528825,East Region,Tampines
EASTVALE,39 Pasir Ris Drive 3  #01-01 ,1,126,Strata,655000,-,5198,483,14-Aug-09,Executive Condominium,99 Yrs From 26/06/1996,1999,Resale,Private,18,51,519495,East Region,Pasir Ris
THE EDEN AT TAMPINES,21 Tampines Street 34  #02-02 ,1,80,Strata,485000,-,6063,563,14-Aug-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529232,East Region,Tampines
THE EDEN AT TAMPINES,35 Tampines Street 34  #05-40 ,1,126,Strata,722800,-,5737,533,12-Aug-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,Private,18,52,529239,East Region,Tampines
THE EDEN AT TAMPINES,21 Tampines Street 34  #04-03 ,1,94,Strata,580000,-,6170,573,3-Aug-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529232,East Region,Tampines
SIMEI GREEN CONDOMINIUM,3 Simei Street 4  #01-07 ,1,145,Strata,750000,-,5172,481,1-Aug-09,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529862,East Region,Tampines
THE EDEN AT TAMPINES,29 Tampines Street 34  #06-29 ,1,115,Strata,640000,-,5565,517,30-Jul-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529236,East Region,Tampines
THE EDEN AT TAMPINES,23 Tampines Street 34  #08-13 ,1,126,Strata,715000,-,5675,527,29-Jul-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,Private,18,52,529233,East Region,Tampines
EASTVALE,37 Pasir Ris Drive 3  #02-02 ,1,119,Strata,633800,-,5326,495,28-Jul-09,Executive Condominium,99 Yrs From 26/06/1996,1999,Resale,HDB,18,51,519494,East Region,Pasir Ris
EASTVALE,37 Pasir Ris Drive 3  #07-04 ,1,102,Strata,616000,-,6039,561,27-Jul-09,Executive Condominium,99 Yrs From 26/06/1996,1999,Resale,Private,18,51,519494,East Region,Pasir Ris
PINEVALE,8 Tampines Street 73  #12-04 ,1,119,Strata,660000,-,5546,515,27-Jul-09,Executive Condominium,99 Yrs From 31/01/1997,1999,Resale,HDB,18,52,528826,East Region,Tampines
THE EDEN AT TAMPINES,35 Tampines Street 34  #09-40 ,1,126,Strata,705000,-,5595,520,27-Jul-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529239,East Region,Tampines
SIMEI GREEN CONDOMINIUM,5 Simei Street 4  #06-02 ,1,111,Strata,675000,-,6081,565,24-Jul-09,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529863,East Region,Tampines
THE EDEN AT TAMPINES,33 Tampines Street 34  #01-34 ,1,138,Strata,693000,-,5022,467,24-Jul-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529238,East Region,Tampines
EASTVALE,39 Pasir Ris Drive 3  #09-04 ,1,102,Strata,620000,-,6078,565,23-Jul-09,Executive Condominium,99 Yrs From 26/06/1996,1999,Resale,Private,18,51,519495,East Region,Pasir Ris
THE EDEN AT TAMPINES,27 Tampines Street 34  #09-24 ,1,116,Strata,670000,-,5776,537,21-Jul-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529235,East Region,Tampines
EASTVALE,31 Pasir Ris Drive 3  #02-06 ,1,99,Strata,550000,-,5556,516,20-Jul-09,Executive Condominium,99 Yrs From 26/06/1996,1999,Resale,HDB,18,51,519491,East Region,Pasir Ris
THE EDEN AT TAMPINES,37 Tampines Street 34  #02-41 ,1,114,Strata,615000,-,5395,501,15-Jul-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529240,East Region,Tampines
THE EDEN AT TAMPINES,37 Tampines Street 34  #04-41 ,1,114,Strata,645000,-,5658,526,13-Jul-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529240,East Region,Tampines
THE EDEN AT TAMPINES,23 Tampines Street 34  #04-14 ,1,115,Strata,638000,-,5548,515,10-Jul-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529233,East Region,Tampines
THE EDEN AT TAMPINES,29 Tampines Street 34  #05-26 ,1,115,Strata,689988,-,6000,557,10-Jul-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529236,East Region,Tampines
THE EDEN AT TAMPINES,21 Tampines Street 34  #02-04 ,1,110,Strata,625000,-,5682,528,9-Jul-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529232,East Region,Tampines
SIMEI GREEN CONDOMINIUM,11 Simei Street 4  #01-04 ,1,148,Strata,710000,-,4797,446,9-Jul-09,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529866,East Region,Tampines
THE EDEN AT TAMPINES,21 Tampines Street 34  #01-07 ,1,136,Strata,653000,-,4801,446,8-Jul-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529232,East Region,Tampines
EASTVALE,35 Pasir Ris Drive 3  #05-01 ,1,112,Strata,650000,-,5804,539,7-Jul-09,Executive Condominium,99 Yrs From 26/06/1996,1999,Resale,HDB,18,51,519493,East Region,Pasir Ris
